"","logFC","logCPM","PValue","FDR"
"YBL003C",-1.03198497771718,9.10941344516304,9.88991767925319e-13,3.87540681510869e-11
"YPR015C",-1.89056415515048,4.35863308932889,1.02753797095037e-12,3.99036948908622e-11
"YJR137C",-1.01963866978146,6.42713678414102,1.03181769787087e-12,3.99036948908622e-11
"YDL137W",-0.797295088497292,8.56830282881324,1.07757092532461e-12,4.12658995689108e-11
"YDR277C",1.50989344205082,7.0064378512526,1.08098942592212e-12,4.12658995689108e-11
"R0030W",-1.04057011870529,9.03717643134429,1.09823998773106e-12,4.16556795346455e-11
"YEL066W",-1.32848470305886,5.59438317248084,1.10809933239406e-12,4.17619347119467e-11
"YKL182W",0.77632063525007,9.64190026189774,1.17393437866697e-12,4.39630994846357e-11
"YBL044W",-3.08906119847806,3.37466845934432,1.1941412042975e-12,4.4438575508354e-11
"YER190C-B",-1.12229232772542,7.60637476933649,1.39870090312395e-12,5.17257077736526e-11
"YNR050C",0.830732040943603,7.44790869612841,1.9516422570603e-12,7.17258834473653e-11
"YGR110W",-1.77574147982124,4.3157301923744,2.09053100136662e-12,7.63559995992982e-11
"YDL048C",1.06303388385709,7.20453441788506,2.11512165493089e-12,7.67802136946385e-11
"YCL030C",1.91690229394187,8.57109780639772,2.29277917422912e-12,8.27217949628884e-11
"YOR306C",0.982273543961844,6.60666067395353,2.33919347225561e-12,8.38848956080997e-11
"YLR151C",-1.48640600694536,5.56315070313063,2.35599012366365e-12,8.39782744681797e-11
"YPR158C-D",1.85134381823713,7.44129193276656,2.55826648523496e-12,9.06422921744625e-11
"YKL065C",-0.875177797920847,8.01169231085142,2.60797518864075e-12,9.18535070904009e-11
"YDR343C",1.7462743203667,8.8147492531977,2.62978123159905e-12,9.20734647773467e-11
"YHR146W",-1.01911320400983,7.9207413523719,2.79227944236972e-12,9.71877497676568e-11
"YMR105C",1.08753283056928,8.80572082857413,4.18174447019155e-12,1.4460378310882e-10
"YHL021C",1.28826231908041,7.72443245446042,4.20345626072623e-12,1.4460378310882e-10
"YLR227W-B",2.65890287554667,8.12728428055278,4.87322191123967e-12,1.66675456929509e-10
"YNR067C",1.11904982714442,6.56375523043965,5.64325525828599e-12,1.91903111283208e-10
"YMR244W",-2.48204406832878,3.58734914460234,6.53014784395702e-12,2.20793627386821e-10
"YGL168W",-1.0901959328178,6.22648429685163,7.38975628284111e-12,2.48438567758925e-10
"YBL001C",-0.970716524761344,6.81353257016563,1.04179756483228e-11,3.48266451475289e-10
"YLR180W",0.782275902739016,8.93766595608191,1.19668297494466e-11,3.97796245098178e-10
"YLL052C",2.19151685500745,3.43282193355694,1.21864105539426e-11,4.02832353338985e-10
"YMR191W",-1.25254916425419,6.17641966040867,1.51114680890161e-11,4.96747537126156e-10
"YOR383C",-1.03483230643797,11.398351235445,1.63499998639275e-11,5.34491432015796e-10
"YCL049C",-0.884058974088586,7.00130958772515,1.7731746394145e-11,5.76476612165693e-10
"YGL162W",1.27739295486624,5.56611396124327,1.8195827884065e-11,5.88331768251436e-10
"YMR300C",1.34794568050459,7.13844387795404,2.56966297675461e-11,8.26342164861794e-10
"YLR049C",-1.24109634873655,5.27921991386516,2.63698238499626e-11,8.43406744433668e-10
"YKR097W",-1.75189719128569,4.27131151371638,3.17438269108901e-11,1.00982916038568e-09
"YLL023C",-0.8225099429056,7.3794995033394,3.29616857241798e-11,1.04296414133675e-09
"YPR061C",-1.46866753100915,5.24531674376161,3.34781902841645e-11,1.05367261655001e-09
"YNL327W",1.10574293264732,8.2364926409862,3.39986616329904e-11,1.06439196234076e-09
"YPR139C",-1.1019104681809,6.46106858260414,3.75131410433908e-11,1.16823818712497e-09
"YBR077C",-1.13504987882564,5.88878958525235,4.21393187113696e-11,1.30543638123128e-09
"YCL064C",0.962607867150056,8.36184854309743,4.42049594976349e-11,1.36229554868493e-09
"YFL068W",-1.03903229696045,7.5110166375617,4.49414627192963e-11,1.37781676119211e-09
"YJR150C",2.90215803591607,2.85078819639168,5.64104311532969e-11,1.72051815017555e-09
"YLR137W",-1.09586901809664,5.69907466438183,6.19496979226628e-11,1.87977621850459e-09
"YDL229W",0.664581289372665,11.3918293872406,7.20153294114597e-11,2.17405461289595e-09
"YER063W",-0.96407863637639,7.10738733999713,8.07557369007295e-11,2.42554160021125e-09
"YGL234W",1.0560218364608,8.82900239096739,8.29337835492137e-11,2.47837978414494e-09
"YBR054W",1.67269254009871,5.19590993402543,9.17405532361393e-11,2.72778318340822e-09
"YIL053W",-0.819449686857016,11.3049484062877,9.29430794758456e-11,2.74972100629289e-09
"YJR052W",-1.01830415034431,5.89539814935517,1.00106464275411e-10,2.94691516973935e-09
"YER146W",-1.11501543710156,6.62484428299935,1.04415930606163e-10,3.05855970988448e-09
"YDL173W",-0.811706162889036,7.64552337471273,1.11778606161438e-10,3.24689433657356e-09
"YHL020C",-0.940999346874264,7.41019740139395,1.11942951607404e-10,3.24689433657356e-09
"YPL222W",-1.08444987766129,6.05275220824353,1.32347994463618e-10,3.82001504020111e-09
"YOR215C",-0.953083978110953,6.73705378527631,1.39434293201417e-10,4.00501316928536e-09
"YJR025C",-1.06050039142193,6.45180650257809,1.42656739025538e-10,4.0777774145609e-09
"YKL104C",-0.770936660868851,8.41362608114689,1.47240826616663e-10,4.18857678409037e-09
"YDR092W",-0.972816224850182,6.82834972925844,1.80200494947708e-10,5.10165707466787e-09
"YFL054C",-1.72090201468107,7.02713617553004,1.88753203298309e-10,5.31834620912425e-09
"YER055C",0.818163947496461,8.45227691834777,2.08119453598547e-10,5.83622183385119e-09
"YPL232W",-0.761087604017958,8.0999599462547,2.17318475126449e-10,6.03715132703241e-09
"YLR326W",-1.44817201332858,4.82107874343543,2.17325204099696e-10,6.03715132703241e-09
"YDL241W",1.61479761294105,4.56442435131818,2.19097882915569e-10,6.0579540804272e-09
"YIR042C",-1.8850317465696,4.67541351074959,2.59566298545464e-10,7.14350599299308e-09
"YER004W",-0.828799296143968,7.72472799284951,2.71862213232807e-10,7.44726257267833e-09
"YER047C",-0.928574415686009,6.43682743739546,2.81176564049866e-10,7.66692041236431e-09
"YBL040C",-0.881057322507181,6.69720059918805,2.90528047927035e-10,7.88557091552415e-09
"YDR089W",1.44955655976239,5.63106939697974,2.92179815125092e-10,7.89419162600535e-09
"YOL052C-A",2.41027693555414,4.27316300249055,2.94670187638064e-10,7.92528863752012e-09
"YAR002C-A",-0.808195788786088,7.52874870558965,3.01046275394219e-10,8.06013941858639e-09
"YLR050C",-1.13811210648498,6.20658795537684,3.17151672846734e-10,8.45309210916272e-09
"YLR256W",0.695518361641219,9.0411614903771,3.32438009351714e-10,8.82078789835915e-09
"YOR114W",-2.05304111255227,4.08390678020058,3.3662501030819e-10,8.89200975889982e-09
"YNL336W",-0.983516522182813,6.00647725469317,3.45573915522217e-10,9.08782603619981e-09
"YPR140W",-1.06180364529461,5.77215147018627,3.60743004386479e-10,9.40790150854341e-09
"YOL083W",-1.33979837386594,5.12974254059489,3.60925070549156e-10,9.40790150854341e-09
"YGR230W",-1.55479576625269,4.40045918749604,3.64868846139772e-10,9.46898667810979e-09
"YPR167C",-1.27610767253757,6.0836337112872,3.71389242925752e-10,9.59611419385012e-09
"YKL037W",-1.63670522447316,4.64445232881462,3.99963420271816e-10,1.02894937293406e-08
"YGR177C",1.43314106372108,4.98611963536401,4.0726932343228e-10,1.04317809816893e-08
"YBR162W-A",-0.989060106013451,6.46985964672257,4.09020312278505e-10,1.04317809816893e-08
"YKL163W",2.07023448633793,4.82018315415556,4.87492255513334e-10,1.23797926003107e-08
"YNL054W-B",0.959980740523726,6.94236482650983,4.90510208911105e-10,1.24032004535342e-08
"YGL027C",-0.752958860288827,7.74568765599146,5.03987832493727e-10,1.26897702334697e-08
"YKL043W",1.06127118968259,7.2344128653139,5.29547770324165e-10,1.32768396483393e-08
"YFR052W",-0.785835011523077,7.38301344845574,5.40300004253363e-10,1.3489262131507e-08
"YJL170C",-1.61427824696271,4.37181988937217,5.50652221705351e-10,1.36657223320872e-08
"YHR162W",-0.773194033738054,8.42780081906073,5.51987094366881e-10,1.36657223320872e-08
"YOR128C",1.44223214374786,7.88034911375265,5.63172187390679e-10,1.38796457817604e-08
"YBR299W",-1.63634062561806,4.83450979699017,5.65319356667949e-10,1.38796457817604e-08
"YOR327C",-0.745411036492618,7.57430454242959,5.84874420454139e-10,1.43004212637485e-08
"YIR037W",-0.822472408846807,7.35242968340914,5.94677955407388e-10,1.44802858524507e-08
"YOR204W",0.910776079840837,6.96361574717989,5.98564621841967e-10,1.45151920796677e-08
"YML001W",-0.872377780025848,7.22859429082721,7.59247240908342e-10,1.8336595610019e-08
"YDR345C",0.832917370863379,11.7009517698755,8.7131282903742e-10,2.09575528837984e-08
"YDL035C",-0.910017230710185,6.84343486357696,8.91780310941847e-10,2.13630125499713e-08
"YER145C",-0.82998427489954,8.55341448832056,9.8285972519676e-10,2.34499233628598e-08
"YJL103C",-1.38500229334288,4.87998531907458,1.05319623053529e-09,2.50271570123587e-08
"YMR029C",-0.840052143993071,6.4144130501844,1.11214822648892e-09,2.63223242245399e-08
"YNL332W",-3.7061729611043,3.10383176190837,1.2000822399814e-09,2.8290384916215e-08
"YKL001C",-0.966356847078231,5.58184702611199,1.22310259950098e-09,2.87186431795529e-08
